ReviewID,ReviewText,SentimentScore,SentimentCategory,SentimentID
RV240,The flight was on time and staff were helpful.,0.4215,Positive,73
RV241,Crew service was poor and flight announcements were unclear.,-0.6249,Negative,74
RV242,Smooth boarding while the weather made operations challenging.,0.1531,Positive,75
RV250,Crew service was poor and flight announcements were unclear.,-0.6249,Negative,76
RV251,I loved the comfort but the baggage wait was too long.,0.4939,Positive,77
RV252,The flight was on time and staff were helpful.,0.4215,Positive,78
RV260,The flight was on time and staff were helpful.,0.4215,Positive,79
RV261,Smooth boarding while the weather made operations challenging.,0.1531,Positive,80
RV262,Crew service was poor and flight announcements were unclear.,-0.6249,Negative,81
RV270,Smooth boarding while the weather made operations challenging.,0.1531,Positive,82
RV271,"Delayed departure was frustrating, but the crew still tried.",-0.34,Negative,83
RV272,I loved the comfort but the baggage wait was too long.,0.4939,Positive,84
RV280,"Delayed departure was frustrating, but the crew still tried.",-0.34,Negative,85
RV281,I loved the comfort but the baggage wait was too long.,0.4939,Positive,86
RV282,Smooth boarding while the weather made operations challenging.,0.1531,Positive,87
RV290,Crew service was poor and flight announcements were unclear.,-0.6249,Negative,88
RV291,Crew service was poor and flight announcements were unclear.,-0.6249,Negative,89
RV292,Smooth boarding while the weather made operations challenging.,0.1531,Positive,90
